"lsoa","output"
"E00025605",364.8
"E00025607",6835.0
"E00025608",11239.3
"E00025611",2397.9
"E00025612",7970.7
"E00025613",22301.6
"E00025614",11107.3
"E00025615",9360.3
"E00025616",2661.5
"E00025617",1556.3
"E00025618",6975.2
"E00025619",6883.9
"E00025621",8309.6
"E00025622",10676.3
"E00025623",7485.1
"E00025625",11863.9
"E00025626",5323.5
"E00025627",9222.5
"E00025628",2451.3
"E00025629",15612.2
"E00025630",6145.1
"E00025631",16677.9
"E00025632",11504.4
"E00025633",5749.7
"E00025634",11247.5
"E00025635",11029.9
"E00025636",11167.9
"E00025638",1707.3
"E00025639",6241.4
"E00025640",4093.9
"E00025641",6906.6
"E00025642",3693.0
"E00025643",7431.7
"E00025644",8527.1
"E00025645",4099.0
"E00025646",4037.7
"E00025647",6104.9
"E00025648",4110.1
"E00025649",4149.9
"E00025650",476.1
"E00025651",4719.3
"E00025652",7460.0
"E00025653",5770.6
"E00025654",6556.7
"E00025655",3664.3
"E00025656",9519.7
"E00025657",6800.0
"E00025658",3245.1
"E00025659",3839.8
"E00025660",1827.2
"E00025661",7632.9
"E00025662",8366.2
"E00025663",7129.6
"E00025664",2311.0
"E00025666",529.0
"E00025667",7230.0
"E00025668",6386.0
"E00025669",4548.5
"E00025670",7191.5
"E00025671",6484.0
"E00025672",5368.8
"E00025673",6763.5
"E00025674",5007.8
"E00025675",2131.1
"E00025676",7031.6
"E00025677",6158.7
"E00025678",5389.4
"E00025680",10042.7
"E00025681",8317.8
"E00025682",2683.1
"E00025684",847.7
"E00025685",8903.2
"E00025687",7857.1
"E00025688",5653.2
"E00025689",7645.6
"E00025690",2542.1
"E00025691",5160.3
"E00025692",8092.3
"E00025693",10068.5
"E00025694",1184.7
"E00025695",10980.4
"E00025696",1552.7
"E00025697",3628.5
"E00025698",5662.2
"E00025699",6823.8
"E00025700",11666.7
"E00025701",7263.4
"E00025702",9331.6
"E00025703",3679.7
"E00025704",13179.5
"E00025705",2159.1
"E00025706",7907.8
"E00025707",15000.0
"E00025708",13317.1
"E00025709",9381.7
"E00025710",9766.8
"E00025711",4940.2
"E00025712",6644.7
"E00025713",8493.2
"E00025714",2932.7
"E00025715",5893.4
"E00025716",5605.2
"E00025717",2307.1
"E00025718",1639.9
"E00025719",5309.6
"E00025720",2483.0
"E00025721",5301.6
"E00025722",5085.8
"E00025723",3018.4
"E00025724",5670.8
"E00025725",5918.2
"E00025726",10426.5
"E00025727",2306.9
"E00025728",9190.4
"E00025729",7935.7
"E00025730",7780.0
"E00025731",7804.9
"E00025732",10492.2
